feature,votes,selected
TD_Squared,4,True
Rush_Production,4,True
Rush_YPC,3,True
PFR_Pass_NY/A,3,True
Rush_TD_Rate,3,True
PFR_Scrim_Rushing_Lng,3,True
Rush_TD,3,True
Pass_Yds^2,3,True
PFR_Pass_Y/C,3,True
Pass_TD_Rate,3,True
PFR_Pass_QBR,2,True
PFR_Scrim_Rushing_Succ%,2,True
Explosive_Rusher,2,True
Total_Yards,2,True
PFR_Scrim_Receiving_Y_R,2,True
PFR_Pass_GS,2,True
PFR_Pass_Rate,2,True
PFR_Pass_ANY/A,2,True
Pass_Int,2,True
Rec_Yds,2,True
PFR_Pass_Age,2,True
PFR_Scrim_Receiving_TD,2,True
PFR_Scrim_Rushing_Y_A,1,False
Dual_Threat_Score,1,False
Likely_RB,1,False
Pass_YPA,1,False
1000_Rec_Yards,1,False
Pass_Comp_Pct,1,False
PFR_Pass_Int,1,False
PFR_Scrim_Receiving_Succ%,1,False
Full_Season,1,False
PFR_Pass_Sk,1,False
PFR_Pass_Yds,1,False
